#
# This is an automatically generated geo file
# Script: create_regular_geofile.py
#
# Draws all available cell shapes
#
# padnumber	xposition	yposition	type	optional


1	-2.75	+5.09	11	SIZE:0.82,ROTATE:-120,X_CROP:0.5,INVERT:1
2	-1.96	+5.09	11	SIZE:0.82,ROTATE:0
3	-1.17	+5.09	44	SIZE:0.82,ROTATE:0,TEXT_Y_OFFSET:-0.13,TEXT_X_OFFSET:+0.05
4	-0.38	+5.09	11	SIZE:0.82,ROTATE:0
5	+0.41	+5.09	11	SIZE:0.82,ROTATE:0
6	+1.20	+5.09	44	SIZE:0.82,ROTATE:0,TEXT_Y_OFFSET:-0.13,TEXT_X_OFFSET:+0.05
7	+1.99	+5.09	11	SIZE:0.82,ROTATE:0
8	+2.78	+5.09	11	SIZE:0.82,ROTATE:-120,X_CROP:0.5,ROTATE:120
9	-3.14	+4.40	42	SIZE:0.82,ROTATE:60
10	-2.35	+4.40	0	SIZE:0.82,ROTATE:0
11	-1.56	+4.40	0	SIZE:0.82,ROTATE:0
12	-0.77	+4.40	0	SIZE:0.82,ROTATE:0
13	+0.02	+4.40	4	SIZE:0.82,ROTATE:0
14	+0.02	+4.40	14	SIZE:0.35,ROTATE:0
15	+0.80	+4.40	0	SIZE:0.82,ROTATE:0
16	+1.59	+4.40	0	SIZE:0.82,ROTATE:0
17	+2.38	+4.40	0	SIZE:0.82,ROTATE:0
18	+3.17	+4.40	42	SIZE:0.82,ROTATE:60,INVERT:1
19	-3.54	+3.71	43	SIZE:0.82,ROTATE:60,TEXT_Y_OFFSET:-0.05,TEXT_X_OFFSET:+0.2
20	-2.75	+3.71	0	SIZE:0.82,ROTATE:0
21	-1.96	+3.71	0	SIZE:0.82,ROTATE:0
22	-1.17	+3.71	0	SIZE:0.82,ROTATE:0
23	-0.38	+3.71	0	SIZE:0.82,ROTATE:0
24	+0.41	+3.71	0	SIZE:0.82,ROTATE:0
25	+1.20	+3.71	0	SIZE:0.82,ROTATE:0
26	+1.99	+3.71	0	SIZE:0.82,ROTATE:0
27	+2.78	+3.71	0	SIZE:0.82,ROTATE:0
28	+3.57	+3.71	43	SIZE:0.82,ROTATE:300,TEXT_Y_OFFSET:-0.05,TEXT_X_OFFSET:-0.1
29	-3.93	+3.02	41	SIZE:0.82,ROTATE:60
30	-3.14	+3.02	0	SIZE:0.82,ROTATE:0
31	-2.35	+3.02	0	SIZE:0.82,ROTATE:0
32	-1.56	+3.02	0	SIZE:0.82,ROTATE:0
33	-0.77	+3.02	0	SIZE:0.82,ROTATE:0
34	+0.01	+3.02	0	SIZE:0.82,ROTATE:0
35	+0.80	+3.02	0	SIZE:0.82,ROTATE:0
36	+1.59	+3.02	0	SIZE:0.82,ROTATE:0
37	+2.38	+3.02	0	SIZE:0.82,ROTATE:0
38	+3.17	+3.02	0	SIZE:0.82,ROTATE:0
39	+3.96	+3.02	41	SIZE:0.82,ROTATE:300
40	-4.33	+2.33	41	SIZE:0.82,ROTATE:60
41	-3.54	+2.33	0	SIZE:0.82,ROTATE:0
42	-2.75	+2.33	0	SIZE:0.82,ROTATE:0
43	-1.96	+2.33	0	SIZE:0.82,ROTATE:0
44	-1.17	+2.33	0	SIZE:0.82,ROTATE:0
45	-0.38	+2.33	0	SIZE:0.82,ROTATE:0
46	+0.41	+2.33	0	SIZE:0.82,ROTATE:0
47	+1.20	+2.33	0	SIZE:0.82,ROTATE:0
48	+1.99	+2.33	0	SIZE:0.82,ROTATE:0
49	+2.78	+2.33	0	SIZE:0.82,ROTATE:0
50	+3.57	+2.33	0	SIZE:0.82,ROTATE:0
51	+4.36	+2.33	41	SIZE:0.82,ROTATE:300
52	-4.72	+1.64	41	SIZE:0.82,ROTATE:60
53	-3.93	+1.64	0	SIZE:0.82,ROTATE:0
54	-3.15	+1.64	0	SIZE:0.82,ROTATE:0
55	-2.35	+1.64	0	SIZE:0.82,ROTATE:0
56	-1.56	+1.64	0	SIZE:0.82,ROTATE:0
57	-0.78	+1.64	0	SIZE:0.82,ROTATE:0
58	+0.01	+1.64	0	SIZE:0.82,ROTATE:0
59	+0.80	+1.64	0	SIZE:0.82,ROTATE:0
60	+1.59	+1.64	0	SIZE:0.82,ROTATE:0
61	+2.38	+1.64	4	SIZE:0.82,ROTATE:0
62	+2.38	+1.64	14	SIZE:0.35,ROTATE:0
63	+3.17	+1.64	0	SIZE:0.82,ROTATE:0
64	+3.96	+1.64	0	SIZE:0.82,ROTATE:0
65	+4.75	+1.64	41	SIZE:0.82,ROTATE:300
66	-5.12	+0.95	43	SIZE:0.82,ROTATE:60,TEXT_Y_OFFSET:-0.05,TEXT_X_OFFSET:+0.2
67	-4.33	+0.95	0	SIZE:0.82,ROTATE:0
68	-3.54	+0.95	0	SIZE:0.82,ROTATE:0
69	-2.75	+0.95	4	SIZE:0.82,ROTATE:0
70	-2.75	+0.95	14	SIZE:0.35,ROTATE:0
71	-1.96	+0.95	0	SIZE:0.82,ROTATE:0
72	-1.17	+0.95	0	SIZE:0.82,ROTATE:0
73	-0.38	+0.95	0	SIZE:0.82,ROTATE:0
74	+0.41	+0.95	0	SIZE:0.82,ROTATE:0
75	+1.20	+0.95	0	SIZE:0.82,ROTATE:0
76	+1.99	+0.95	0	SIZE:0.82,ROTATE:0
77	+2.78	+0.95	0	SIZE:0.82,ROTATE:0
78	+3.57	+0.95	0	SIZE:0.82,ROTATE:0
79	+4.36	+0.95	0	SIZE:0.82,ROTATE:0
80	+5.15	+0.95	43	SIZE:0.82,ROTATE:300,TEXT_Y_OFFSET:-0.05,TEXT_X_OFFSET:-0.1
81	-5.51	+0.26	42	SIZE:0.82,ROTATE:-60,INVERT:1
82	-4.72	+0.26	0	SIZE:0.82,ROTATE:0
83	-3.94	+0.26	0	SIZE:0.82,ROTATE:0
84	-3.15	+0.26	0	SIZE:0.82,ROTATE:0
85	-2.35	+0.26	0	SIZE:0.82,ROTATE:0
86	-1.57	+0.26	0	SIZE:0.82,ROTATE:0
87	-0.78	+0.26	0	SIZE:0.82,ROTATE:0
88	+0.01	+0.26	0	SIZE:0.82,ROTATE:0
89	+0.80	+0.26	0	SIZE:0.82,ROTATE:0
90	+1.59	+0.26	0	SIZE:0.82,ROTATE:0
91	+2.38	+0.26	0	SIZE:0.82,ROTATE:0
92	+3.17	+0.26	0	SIZE:0.82,ROTATE:0
93	+3.96	+0.26	0	SIZE:0.82,ROTATE:0
94	+4.75	+0.26	0	SIZE:0.82,ROTATE:0
95	+5.54	+0.26	42	SIZE:0.82,ROTATE:300
96	-5.91	-0.43	11	SIZE:0.82,ROTATE:-120,X_CROP:0.5,ROTATE:-120
97	-5.12	-0.43	0	SIZE:0.82,ROTATE:0
98	-4.33	-0.43	0	SIZE:0.82,ROTATE:0
99	-3.54	-0.43	0	SIZE:0.82,ROTATE:0
100	-2.75	-0.43	0	SIZE:0.82,ROTATE:0
101	-1.96	-0.43	0	SIZE:0.82,ROTATE:0
102	-1.17	-0.43	0	SIZE:0.82,ROTATE:0
103	-0.38	-0.43	0	SIZE:0.82,ROTATE:0
104	+0.41	-0.43	0	SIZE:0.82,ROTATE:0
105	+1.20	-0.43	0	SIZE:0.82,ROTATE:0
106	+1.99	-0.43	0	SIZE:0.82,ROTATE:0
107	+2.78	-0.43	0	SIZE:0.82,ROTATE:0
108	+3.57	-0.43	0	SIZE:0.82,ROTATE:0
109	+4.36	-0.43	0	SIZE:0.82,ROTATE:0
110	+5.15	-0.43	0	SIZE:0.82,ROTATE:0
111	+5.94	-0.43	11	SIZE:0.82,ROTATE:-120,X_CROP:0.5,ROTATE:60
112	-5.51	-1.12	11	SIZE:0.82,ROTATE:120
113	-4.72	-1.12	0	SIZE:0.82,ROTATE:0
114	-3.94	-1.12	0	SIZE:0.82,ROTATE:0
115	-3.15	-1.12	0	SIZE:0.82,ROTATE:0
116	-2.35	-1.12	0	SIZE:0.82,ROTATE:0
117	-1.57	-1.12	0	SIZE:0.82,ROTATE:0
118	-0.78	-1.12	0	SIZE:0.82,ROTATE:0
119	+0.01	-1.12	0	SIZE:0.82,ROTATE:0
120	+0.80	-1.12	0	SIZE:0.82,ROTATE:0
121	+1.59	-1.12	0	SIZE:0.82,ROTATE:0
122	+2.38	-1.12	0	SIZE:0.82,ROTATE:0
123	+3.17	-1.12	0	SIZE:0.82,ROTATE:0
124	+3.96	-1.12	0	SIZE:0.82,ROTATE:0
125	+4.75	-1.12	0	SIZE:0.82,ROTATE:0
126	+5.54	-1.12	11	SIZE:0.82,ROTATE:-120
127	-5.12	-1.81	44	SIZE:0.82,ROTATE:120,TEXT_Y_OFFSET:+0.1,TEXT_X_OFFSET:+0.1
128	-4.33	-1.81	0	SIZE:0.82,ROTATE:0
